0.120,0.276,0.311,0.263,0.136,0.369,0.052,0.357,0.772,0.455,0.819,0.047,1.000,0.911,0.000,0.002
0.106,0.260,0.301,0.000,0.106,0.209,0.075,0.161,0.447,0.464,0.428,0.002,0.997,0.910,0.000,0.000
0.113,0.244,0.297,0.000,0.088,0.149,0.052,0.094,0.447,0.464,0.428,0.002,0.994,0.907,0.000,0.000
0.096,0.232,0.292,0.000,0.088,0.134,0.052,0.089,0.447,0.464,0.429,0.003,0.996,0.905,0.000,0.000
0.111,0.224,0.287,0.000,0.102,0.253,0.050,0.198,0.448,0.466,0.430,0.005,0.998,0.902,0.000,0.000
0.123,0.216,0.282,0.053,0.118,0.213,0.075,0.149,0.449,0.466,0.430,0.002,0.995,0.900,0.000,0.000
0.157,0.220,0.282,0.000,0.091,0.149,0.050,0.106,0.449,0.467,0.430,0.002,0.992,0.897,0.000,0.001
0.345,0.312,0.316,0.053,0.137,0.352,0.052,0.388,0.450,0.467,0.432,0.005,0.989,0.895,0.000,0.000
0.173,0.284,0.311,0.000,0.087,0.152,0.074,0.098,0.452,0.470,0.433,0.002,0.985,0.892,0.000,0.000
0.130,0.272,0.306,0.000,0.078,0.214,0.052,0.187,0.452,0.470,0.433,0.002,0.982,0.890,0.000,0.000
0.149,0.268,0.306,0.105,0.101,0.145,0.052,0.091,0.452,0.470,0.434,0.003,0.979,0.887,0.000,0.000
0.092,0.240,0.297,0.000,0.095,0.254,0.052,0.253,0.454,0.471,0.435,0.005,0.976,0.885,0.000,0.000
0.089,0.220,0.287,0.000,0.090,0.222,0.052,0.193,0.454,0.472,0.435,0.002,0.973,0.882,0.000,0.000
0.193,0.248,0.297,0.000,0.103,0.176,0.050,0.092,0.455,0.472,0.435,0.003,0.971,0.880,0.000,0.000
0.299,0.292,0.311,0.789,0.145,0.631,0.052,0.674,0.479,0.473,0.551,0.631,0.968,0.879,0.004,0.004
0.202,0.288,0.311,0.053,0.261,0.857,0.075,0.785,0.599,0.599,0.596,0.140,0.966,0.886,0.013,0.009
0.089,0.244,0.297,0.053,0.118,0.211,0.075,0.163,0.599,0.619,0.577,0.014,0.963,0.894,0.000,0.000
0.094,0.228,0.287,0.053,0.135,0.294,0.050,0.162,0.594,0.614,0.573,0.007,0.960,0.893,0.000,0.000
0.224,0.280,0.311,0.053,0.216,0.706,0.052,0.378,0.603,0.614,0.602,0.103,0.957,0.893,0.013,0.010
0.260,0.312,0.325,0.053,0.175,0.377,0.075,0.385,0.629,0.645,0.614,0.097,0.956,0.897,0.011,0.007
0.287,0.348,0.344,0.053,0.159,0.544,0.075,0.515,0.634,0.657,0.612,0.034,0.954,0.898,0.006,0.007
0.412,0.424,0.378,0.105,0.394,0.742,0.101,0.825,0.670,0.659,0.676,0.179,0.951,0.900,0.116,0.015
0.205,0.364,0.364,0.053,0.097,0.159,0.050,0.092,0.687,0.711,0.670,0.010,0.949,0.905,0.000,0.001
0.434,0.460,0.407,0.000,0.369,0.667,0.131,0.428,0.692,0.712,0.665,0.047,0.946,0.906,0.074,0.006
0.313,0.452,0.416,0.158,0.214,0.444,0.127,0.397,0.695,0.719,0.667,0.022,0.943,0.910,0.029,0.001
0.260,0.452,0.426,0.053,0.173,0.444,0.129,0.380,0.700,0.724,0.675,0.022,0.941,0.915,0.024,0.001
0.212,0.416,0.421,0.105,0.224,0.444,0.077,0.249,0.704,0.730,0.676,0.012,0.940,0.919,0.024,0.003
0.301,0.448,0.440,0.053,0.445,0.696,0.216,0.450,0.711,0.731,0.686,0.038,0.937,0.921,0.003,0.004
0.299,0.472,0.459,0.000,0.202,0.562,0.075,0.370,0.708,0.733,0.689,0.014,0.935,0.922,0.001,0.001
0.381,0.520,0.488,0.000,0.327,0.906,0.075,0.919,0.710,0.733,0.689,0.043,0.932,0.923,0.002,0.004
